Päivämäärä;Huopalahti (asema);Kaisaniemi;Kulosaaren silta et.;Kulosaaren silta po. ;Kuusisaarentie;Lauttasaaren silta eteläpuoli;Merikannontie;Munkkiniemen silta eteläpuoli;Munkkiniemi silta pohjoispuoli;Heperian puisto (Ooppera);Pitkäsilta itäpuoli;Pitkäsilta länsipuoli;Lauttasaaren silta pohjoispuoli;Ratapihantie;Eteläesplanadi;Baana
su 19 huhti 2015 14:00;;53;;;;137;103;0;80;86;60;55;56;;55;90
su 19 huhti 2015 15:00;;61;;;;96;99;0;68;105;68;56;47;;66;118
su 19 huhti 2015 16:00;;45;;;;118;101;0;64;83;75;69;57;;72;108
su 19 huhti 2015 17:00;;49;;;;103;113;1;62;86;81;48;51;;64;109
su 19 huhti 2015 18:00;;48;;;;85;117;0;69;78;57;34;40;;48;99
su 19 huhti 2015 19:00;;42;;;;72;87;1;61;74;40;42;54;;51;71
su 19 huhti 2015 20:00;;19;;;;28;53;0;37;47;36;44;23;;34;43
su 19 huhti 2015 21:00;;13;;;;30;25;0;29;24;24;18;11;;18;30
su 19 huhti 2015 22:00;;13;;;;13;8;0;14;24;16;25;9;;11;22
su 19 huhti 2015 23:00;;2;;;;11;5;0;9;18;13;16;8;;13;15
ma 20 huhti 2015 00:00;;0;;;;1;4;0;2;11;13;11;4;;2;9
ma 20 huhti 2015 01:00;;0;;;;1;1;0;2;4;7;9;1;;1;1
ma 20 huhti 2015 02:00;;1;;;;2;0;0;3;7;2;1;0;;1;1
ma 20 huhti 2015 03:00;;1;;;;1;0;0;2;0;2;4;2;;0;1
ma 20 huhti 2015 04:00;;1;;;;1;3;0;2;0;3;2;2;;2;1
ma 20 huhti 2015 05:00;;1;;;;6;4;0;7;15;12;8;5;;8;18
ma 20 huhti 2015 06:00;;38;;;;66;74;0;84;62;47;8;41;;27;90
ma 20 huhti 2015 07:00;;157;;;;202;191;3;218;205;110;19;136;;89;248
ma 20 huhti 2015 08:00;;267;;;;293;241;2;238;395;246;47;180;;211;417
ma 20 huhti 2015 09:00;;133;;;;145;143;0;110;194;180;61;94;;121;233
ma 20 huhti 2015 10:00;;46;;;;74;75;2;57;93;96;61;33;;64;115
ma 20 huhti 2015 11:00;;63;;;;68;59;0;49;83;97;44;47;;64;102
ma 20 huhti 2015 12:00;;61;;;;72;55;1;53;82;99;53;26;;69;105
ma 20 huhti 2015 13:00;;49;;;;100;66;1;67;97;96;58;42;;71;116
ma 20 huhti 2015 14:00;;79;;;;85;97;1;80;98;121;67;47;;90;108
ma 20 huhti 2015 15:00;;130;;;;149;187;3;169;202;175;81;87;;111;226
ma 20 huhti 2015 16:00;;262;;;;273;247;2;266;356;248;90;179;;206;384
ma 20 huhti 2015 17:00;;215;;;;275;226;2;223;305;258;119;172;;169;360
ma 20 huhti 2015 18:00;;129;;;;220;178;1;183;236;196;86;116;;121;246
ma 20 huhti 2015 19:00;;92;;;;160;155;1;100;168;134;74;85;;78;154
ma 20 huhti 2015 20:00;;59;;;;130;140;0;88;119;99;65;55;;54;147
ma 20 huhti 2015 21:00;;46;;;;66;70;0;57;84;44;42;54;;36;78
ma 20 huhti 2015 22:00;;13;;;;19;17;0;17;24;23;12;20;;15;35
ma 20 huhti 2015 23:00;;4;;;;15;8;0;8;14;14;8;6;;9;18
ti 21 huhti 2015 00:00;;4;;;;4;3;0;4;5;8;7;4;;5;7
ti 21 huhti 2015 01:00;;1;;;;3;0;0;2;4;1;4;1;;3;5
ti 21 huhti 2015 02:00;;0;;;;1;0;0;1;2;0;2;0;;0;0
ti 21 huhti 2015 03:00;;0;;;;0;0;0;0;0;0;3;1;;0;1
ti 21 huhti 2015 04:00;;0;;;;1;0;0;3;0;7;2;1;;1;1
ti 21 huhti 2015 05:00;;4;;;;11;12;0;12;15;11;6;5;;10;23
ti 21 huhti 2015 06:00;;38;;;;78;75;0;103;76;50;9;46;;26;102
ti 21 huhti 2015 07:00;;171;;;;223;248;3;259;241;145;24;155;;120;292
ti 21 huhti 2015 08:00;;286;;;;337;318;4;257;390;261;56;226;;226;441
ti 21 huhti 2015 09:00;;158;;;;190;135;0;114;192;162;78;94;;130;243
ti 21 huhti 2015 10:00;;63;;;;86;73;1;47;91;96;57;48;;66;116
ti 21 huhti 2015 11:00;;70;;;;77;56;2;60;98;108;48;46;;94;123
ti 21 huhti 2015 12:00;;77;;;;111;84;0;72;99;131;66;37;;84;123
ti 21 huhti 2015 13:00;;76;;;;116;101;0;62;109;120;60;43;;79;127
ti 21 huhti 2015 14:00;;93;;;;78;128;2;79;127;135;67;60;;86;124
ti 21 huhti 2015 15:00;;149;;;;180;200;3;224;185;190;83;108;;128;218
ti 21 huhti 2015 16:00;;291;;;;305;269;5;315;350;291;87;205;;231;393
ti 21 huhti 2015 17:00;;199;;;;297;257;0;248;316;296;103;195;;200;361
ti 21 huhti 2015 18:00;;143;;;;196;183;0;160;242;197;85;120;;124;263
ti 21 huhti 2015 19:00;;112;;;;152;172;3;133;171;168;74;84;;101;173
ti 21 huhti 2015 20:00;;81;;;;139;131;1;99;128;100;62;79;;69;155
ti 21 huhti 2015 21:00;;40;;;;61;61;1;73;87;79;41;43;;38;99
ti 21 huhti 2015 22:00;;26;;;;29;25;1;23;44;24;26;23;;29;37
ti 21 huhti 2015 23:00;;6;;;;18;8;0;17;22;23;17;11;;11;11
ke 22 huhti 2015 00:00;;7;;;;7;3;0;7;5;8;7;5;;6;8
ke 22 huhti 2015 01:00;;1;;;;2;2;0;3;5;7;8;0;;3;4
ke 22 huhti 2015 02:00;;1;;;;3;1;0;3;2;2;5;0;;0;2
ke 22 huhti 2015 03:00;;0;;;;0;0;0;0;1;2;4;1;;0;0
ke 22 huhti 2015 04:00;;2;;;;0;0;0;3;2;1;1;0;;1;1
ke 22 huhti 2015 05:00;;3;;;;12;12;0;16;11;11;4;7;;6;20
ke 22 huhti 2015 06:00;;50;;;;71;82;0;95;68;39;12;53;;34;89
ke 22 huhti 2015 07:00;;164;;;;220;188;1;263;238;157;24;147;;123;287
ke 22 huhti 2015 08:00;;285;;;;317;69;1;268;418;269;66;191;;236;451
ke 22 huhti 2015 09:00;;138;;;;165;22;1;114;215;203;63;88;;126;259
ke 22 huhti 2015 10:00;;73;;;;95;55;0;64;99;93;60;54;;70;107
ke 22 huhti 2015 11:00;;73;;;;88;69;0;45;99;108;61;31;;89;119
ke 22 huhti 2015 12:00;;52;;;;83;77;2;66;97;131;71;46;;92;103
ke 22 huhti 2015 13:00;;71;;;;69;71;0;68;99;124;63;45;;88;91
ke 22 huhti 2015 14:00;;78;;;;88;87;0;89;109;104;64;48;;103;108
ke 22 huhti 2015 15:00;;183;;;;143;179;0;175;197;191;72;104;;144;248
ke 22 huhti 2015 16:00;;254;;;;281;247;2;252;358;307;102;181;;221;241
ke 22 huhti 2015 17:00;;193;;;;253;225;0;224;358;288;143;171;;183;351
ke 22 huhti 2015 18:00;;130;;;;194;128;1;129;250;194;90;123;;122;262
ke 22 huhti 2015 19:00;;83;;;;170;137;0;83;190;133;74;84;;103;181
ke 22 huhti 2015 20:00;;77;;;;106;102;0;75;136;106;67;70;;74;152
ke 22 huhti 2015 21:00;;32;;;;91;65;0;44;91;66;57;42;;43;85
ke 22 huhti 2015 22:00;;20;;;;24;21;0;11;40;36;34;20;;32;44
ke 22 huhti 2015 23:00;;10;;;;13;6;0;5;11;18;20;8;;12;16
to 23 huhti 2015 00:00;;2;;;;6;4;0;3;5;8;15;3;;13;6
to 23 huhti 2015 01:00;;0;;;;3;1;0;1;1;4;15;0;;4;1
to 23 huhti 2015 02:00;;2;;;;4;1;0;1;2;0;3;1;;2;1
to 23 huhti 2015 03:00;;2;;;;2;0;0;1;1;0;4;1;;0;1
to 23 huhti 2015 04:00;;0;;;;4;0;0;1;5;2;5;1;;1;2
to 23 huhti 2015 05:00;;5;;;;8;3;0;8;15;11;4;5;;5;13
to 23 huhti 2015 06:00;;29;;;;38;50;1;60;51;30;10;37;;19;72
to 23 huhti 2015 07:00;;131;;;;153;174;0;221;160;99;20;128;;84;214
to 23 huhti 2015 08:00;;231;;;;246;198;1;188;301;218;52;150;;177;360
to 23 huhti 2015 09:00;;123;;;;123;109;1;78;181;161;77;85;;115;208
to 23 huhti 2015 10:00;;70;;;;76;26;0;40;87;80;58;25;;65;97
to 23 huhti 2015 11:00;;67;;;;53;32;2;44;76;98;45;28;;70;84
to 23 huhti 2015 12:00;;81;;;;49;54;1;44;64;105;51;28;;88;93
to 23 huhti 2015 13:00;;50;;;;59;28;1;47;67;102;58;28;;72;77
to 23 huhti 2015 14:00;;69;;;;52;46;2;65;84;86;60;36;;67;86
to 23 huhti 2015 15:00;;131;;;;99;92;3;128;160;174;57;59;;120;177
to 23 huhti 2015 16:00;;220;;;;184;160;3;187;271;230;95;117;;170;300
to 23 huhti 2015 17:00;;151;;;;208;159;1;183;227;223;87;128;;162;266
to 23 huhti 2015 18:00;;112;;;;141;137;5;124;178;176;82;75;;106;191
to 23 huhti 2015 19:00;;82;;;;90;70;1;86;139;122;61;50;;77;138
to 23 huhti 2015 20:00;;80;;;;78;82;0;101;108;112;51;48;;76;129
to 23 huhti 2015 21:00;;22;;;;58;50;1;55;64;60;43;38;;32;89
to 23 huhti 2015 22:00;;21;;;;27;15;2;17;37;36;16;11;;24;37
to 23 huhti 2015 23:00;;6;;;;16;8;1;12;16;17;24;8;;14;26
pe 24 huhti 2015 00:00;;11;;;;7;1;0;6;6;10;10;3;;9;5
pe 24 huhti 2015 01:00;;1;;;;3;1;0;2;0;4;7;2;;1;0
pe 24 huhti 2015 02:00;;0;;;;3;1;0;0;1;0;4;2;;5;0
pe 24 huhti 2015 03:00;;0;;;;3;0;0;2;1;1;4;0;;7;0
pe 24 huhti 2015 04:00;;1;;;;0;1;0;2;2;7;2;3;;1;2
pe 24 huhti 2015 05:00;;3;;;;6;7;0;6;12;6;6;8;;7;14
pe 24 huhti 2015 06:00;;32;;;;59;55;1;69;52;37;13;43;;22;75
pe 24 huhti 2015 07:00;;142;;;;189;201;3;226;195;116;26;117;;90;248
pe 24 huhti 2015 08:00;;212;;;;246;244;3;214;338;232;42;146;;193;341
pe 24 huhti 2015 09:00;;126;;;;164;111;3;96;169;143;68;105;;130;192
pe 24 huhti 2015 10:00;;62;;;;87;71;2;45;104;91;42;35;;82;87
pe 24 huhti 2015 11:00;;72;;;;75;65;2;58;95;97;59;36;;88;93
pe 24 huhti 2015 12:00;;66;;;;89;69;2;65;98;106;50;34;;89;91
pe 24 huhti 2015 13:00;;63;;;;108;81;2;89;113;103;61;49;;91;135
pe 24 huhti 2015 14:00;;84;;;;132;110;2;102;140;123;71;62;;122;143
pe 24 huhti 2015 15:00;;128;;;;184;182;1;157;198;171;83;100;;135;217
pe 24 huhti 2015 16:00;;212;;;;219;213;0;238;283;245;97;170;;183;304
pe 24 huhti 2015 17:00;;143;;;;206;149;2;173;245;191;111;107;;135;268
pe 24 huhti 2015 18:00;;85;;;;144;108;0;91;178;154;75;71;;95;161
pe 24 huhti 2015 19:00;;52;;;;94;67;0;79;88;104;52;49;;72;108
pe 24 huhti 2015 20:00;;47;;;;69;60;1;50;94;79;56;45;;38;82
pe 24 huhti 2015 21:00;;36;;;;49;45;0;43;85;60;41;19;;26;51
pe 24 huhti 2015 22:00;;27;;;;27;15;0;16;37;31;23;17;;26;48
pe 24 huhti 2015 23:00;;25;;;;16;10;0;9;32;34;36;7;;18;24
la 25 huhti 2015 00:00;;18;;;;14;3;1;16;20;25;21;5;;15;18
la 25 huhti 2015 01:00;;7;;;;7;0;0;3;9;20;24;8;;11;7
la 25 huhti 2015 02:00;;2;;;;6;2;0;3;9;16;14;8;;6;6
la 25 huhti 2015 03:00;;3;;;;5;3;2;0;9;4;8;0;;0;4
la 25 huhti 2015 04:00;;1;;;;2;0;0;3;6;6;7;1;;1;3
la 25 huhti 2015 05:00;;0;;;;4;4;0;2;1;4;8;2;;4;9
la 25 huhti 2015 06:00;;4;;;;6;6;0;11;6;6;3;7;;6;13
la 25 huhti 2015 07:00;;14;;;;18;20;0;21;14;10;5;5;;5;23
la 25 huhti 2015 08:00;;21;;;;45;25;0;32;38;31;17;18;;32;40
la 25 huhti 2015 09:00;;41;;;;95;76;1;55;75;65;26;56;;45;80
la 25 huhti 2015 10:00;;68;;;;157;120;0;78;122;74;46;57;;56;114
la 25 huhti 2015 11:00;;55;;;;161;194;0;108;149;126;65;94;;76;158
la 25 huhti 2015 12:00;;94;;;;227;159;1;114;157;131;73;97;;113;175
la 25 huhti 2015 13:00;;121;;;;219;214;4;100;178;142;93;93;;87;226
la 25 huhti 2015 14:00;;101;;;;199;200;1;107;169;137;112;78;;95;173
la 25 huhti 2015 15:00;;89;;;;178;197;1;106;187;158;122;82;;100;187
la 25 huhti 2015 16:00;;97;;;;157;153;0;94;177;155;90;107;;90;163
la 25 huhti 2015 17:00;;73;;;;143;135;0;83;144;131;78;68;;82;143
la 25 huhti 2015 18:00;;65;;;;103;96;3;65;119;88;45;50;;57;116
la 25 huhti 2015 19:00;;37;;;;68;67;4;55;73;65;45;36;;54;74
la 25 huhti 2015 20:00;;47;;;;48;41;0;40;59;53;49;26;;29;46
la 25 huhti 2015 21:00;;27;;;;36;29;0;41;49;56;28;22;;32;52
la 25 huhti 2015 22:00;;19;;;;22;16;1;24;41;33;20;17;;21;23
la 25 huhti 2015 23:00;;19;;;;21;9;0;11;23;27;25;11;;21;22
su 26 huhti 2015 00:00;;19;;;;13;5;1;10;27;25;31;7;;17;12
su 26 huhti 2015 01:00;;5;;;;10;5;0;9;12;22;15;8;;14;10
su 26 huhti 2015 02:00;;7;;;;8;4;0;6;12;17;17;3;;6;7
su 26 huhti 2015 03:00;;2;;;;7;3;0;7;8;14;9;3;;7;5
su 26 huhti 2015 04:00;;1;;;;6;1;0;4;7;4;12;2;;1;6
su 26 huhti 2015 05:00;;1;;;;2;2;0;3;0;1;3;1;;4;2
su 26 huhti 2015 06:00;;2;;;;2;3;0;8;6;2;2;6;;2;7
su 26 huhti 2015 07:00;;7;;;;5;9;0;9;2;2;2;1;;5;9
su 26 huhti 2015 08:00;;8;;;;6;11;0;10;10;5;2;2;;4;12
su 26 huhti 2015 09:00;;11;;;;9;5;0;11;9;14;8;10;;9;23
su 26 huhti 2015 10:00;;4;;;;18;10;0;15;16;4;5;7;;8;15
su 26 huhti 2015 11:00;;10;;;;20;14;0;19;13;14;9;5;;7;19
su 26 huhti 2015 12:00;;10;;;;20;21;0;18;24;15;8;6;;12;22
su 26 huhti 2015 13:00;;14;;;;25;35;0;29;33;24;15;16;;17;39
su 26 huhti 2015 14:00;;18;;;;44;37;1;23;36;26;20;10;;14;53
su 26 huhti 2015 15:00;;21;;;;71;42;1;37;42;37;19;17;;19;62
su 26 huhti 2015 16:00;;26;;;;80;53;0;35;67;45;37;23;;38;50
su 26 huhti 2015 17:00;;28;;;;77;54;0;32;79;49;27;35;;34;71
su 26 huhti 2015 18:00;;45;;;;75;65;0;36;74;43;25;29;;27;77
su 26 huhti 2015 19:00;;28;;;;44;49;0;33;59;42;21;21;;28;48
su 26 huhti 2015 20:00;;22;;;;43;45;0;27;60;27;22;26;;20;56
su 26 huhti 2015 21:00;;10;;;;29;19;1;15;32;26;21;19;;14;37
su 26 huhti 2015 22:00;;7;;;;22;7;0;8;19;14;13;9;;12;25
su 26 huhti 2015 23:00;;10;;;;3;3;0;4;15;6;17;6;;2;4
ma 27 huhti 2015 00:00;;6;;;;2;0;0;0;6;5;8;2;;2;6
ma 27 huhti 2015 01:00;;1;;;;2;0;0;0;3;4;3;1;;1;3
ma 27 huhti 2015 02:00;;2;;;;1;0;0;0;2;0;0;0;;1;1
ma 27 huhti 2015 03:00;;0;;;;0;1;0;0;2;1;2;1;;0;2
ma 27 huhti 2015 04:00;;2;;;;0;1;0;3;0;2;2;1;;2;2
ma 27 huhti 2015 05:00;;1;;;;11;2;0;10;15;7;8;4;;5;17
ma 27 huhti 2015 06:00;;38;;;;51;66;0;96;56;37;13;39;;32;86
ma 27 huhti 2015 07:00;;141;;;;191;210;1;239;193;112;18;122;;97;231
ma 27 huhti 2015 08:00;;250;;;;278;219;0;238;326;234;44;166;;190;359
ma 27 huhti 2015 09:00;;130;;;;134;110;0;102;192;177;68;91;;121;224
ma 27 huhti 2015 10:00;;53;;;;86;76;0;44;94;76;42;39;;50;101
ma 27 huhti 2015 11:00;;37;;;;71;54;0;34;68;71;34;36;;50;86
ma 27 huhti 2015 12:00;;53;;;;57;48;1;39;61;81;38;29;;69;68
ma 27 huhti 2015 13:00;;47;;;;57;44;1;50;81;88;57;36;;66;72
ma 27 huhti 2015 14:00;;60;;;;70;63;0;53;90;109;49;39;;81;94
ma 27 huhti 2015 15:00;;159;;;;139;177;0;178;149;147;71;76;;111;189
ma 27 huhti 2015 16:00;;223;;;;219;193;3;231;295;242;78;136;;169;348
ma 27 huhti 2015 17:00;;155;;;;221;167;1;190;247;210;91;131;;148;280
ma 27 huhti 2015 18:00;;111;;;;144;112;0;123;178;146;74;97;;94;172
ma 27 huhti 2015 19:00;;76;;;;102;76;0;84;113;134;60;64;;69;135
ma 27 huhti 2015 20:00;;50;;;;62;80;0;67;72;53;44;41;;47;84
ma 27 huhti 2015 21:00;;25;;;;52;32;0;33;51;38;30;13;;22;55
ma 27 huhti 2015 22:00;;8;;;;18;13;0;7;13;15;7;18;;8;21
ma 27 huhti 2015 23:00;;5;;;;4;4;0;8;9;10;3;1;;5;7
ti 28 huhti 2015 00:00;;2;;;;2;2;0;3;5;4;3;0;;2;3
ti 28 huhti 2015 01:00;;3;;;;2;1;0;0;5;4;0;0;;1;1
ti 28 huhti 2015 02:00;;0;;;;1;0;0;0;2;1;4;1;;1;1
ti 28 huhti 2015 03:00;;1;;;;2;0;0;0;1;1;1;0;;0;2
ti 28 huhti 2015 04:00;;0;;;;0;2;0;6;0;2;1;0;;0;1
ti 28 huhti 2015 05:00;;6;;;;13;10;0;8;14;9;5;6;;8;16
ti 28 huhti 2015 06:00;;32;;;;71;52;0;78;57;52;8;49;;30;97
ti 28 huhti 2015 07:00;;152;;;;209;227;0;274;204;128;26;127;;99;259
ti 28 huhti 2015 08:00;;249;;;;273;239;0;222;376;211;48;173;;211;388
ti 28 huhti 2015 09:00;;142;;;;147;118;1;106;203;141;53;65;;120;222
ti 28 huhti 2015 10:00;;94;;;;80;44;1;49;90;94;45;35;;65;104
ti 28 huhti 2015 11:00;;62;;;;96;62;0;42;95;94;43;30;;72;96
ti 28 huhti 2015 12:00;;75;;;;102;77;1;59;85;111;65;41;;97;121
ti 28 huhti 2015 13:00;;88;;;;86;86;1;53;110;98;69;50;;94;112
ti 28 huhti 2015 14:00;;77;;;;108;111;2;80;128;140;59;50;;85;121
ti 28 huhti 2015 15:00;;173;;;;145;198;1;200;205;195;102;88;;134;250
ti 28 huhti 2015 16:00;;241;;;;277;241;1;284;336;303;88;180;;208;364
ti 28 huhti 2015 17:00;;171;;;;258;242;0;225;324;253;122;179;;180;315
ti 28 huhti 2015 18:00;;150;;;;218;219;1;181;267;195;86;119;;126;255
ti 28 huhti 2015 19:00;;113;;;;148;189;4;139;175;141;85;120;;107;170
ti 28 huhti 2015 20:00;;85;;;;112;139;2;104;152;98;60;73;;69;130
ti 28 huhti 2015 21:00;;53;;;;93;82;0;64;111;73;41;32;;44;91
ti 28 huhti 2015 22:00;;26;;;;34;20;0;31;41;40;28;19;;31;37
ti 28 huhti 2015 23:00;;19;;;;11;6;0;7;19;28;13;12;;7;22
ke 29 huhti 2015 00:00;;1;;;;8;2;0;4;8;11;10;2;;6;4
ke 29 huhti 2015 01:00;;0;;;;1;2;0;3;5;5;4;2;;2;5
ke 29 huhti 2015 02:00;;1;;;;1;0;0;3;2;6;4;0;;2;2
ke 29 huhti 2015 03:00;;2;;;;2;0;0;1;1;3;2;0;;1;2
ke 29 huhti 2015 04:00;;1;;;;2;1;0;1;0;3;3;1;;0;1
ke 29 huhti 2015 05:00;;0;;;;8;6;0;12;8;5;6;5;;6;15
ke 29 huhti 2015 06:00;;18;;;;51;33;0;55;44;35;8;31;;23;73
ke 29 huhti 2015 07:00;;71;;;;98;129;0;147;97;54;12;70;;44;137
ke 29 huhti 2015 08:00;;112;;;;149;126;0;105;154;106;24;85;;98;175
ke 29 huhti 2015 09:00;;68;;;;64;47;0;49;83;60;27;34;;53;95
ke 29 huhti 2015 10:00;;23;;;;24;19;0;19;25;27;23;10;;24;27
ke 29 huhti 2015 11:00;;20;;;;21;15;0;8;24;26;21;6;;22;26
ke 29 huhti 2015 12:00;;18;;;;24;11;0;11;20;25;12;7;;25;19
ke 29 huhti 2015 13:00;;16;;;;17;17;0;16;17;24;15;10;;17;15
ke 29 huhti 2015 14:00;;27;;;;20;24;0;25;18;21;14;17;;37;40
ke 29 huhti 2015 15:00;;49;;;;57;73;0;86;68;64;27;36;;53;98
ke 29 huhti 2015 16:00;;103;;;;105;91;1;108;122;93;35;62;;79;107
ke 29 huhti 2015 17:00;;77;;;;105;83;1;81;106;87;52;53;;58;127
ke 29 huhti 2015 18:00;;40;;;;79;49;1;52;94;55;36;41;;53;95
ke 29 huhti 2015 19:00;;25;;;;56;41;0;40;45;55;39;19;;38;64
ke 29 huhti 2015 20:00;;25;;;;38;30;0;41;41;25;15;21;;26;56
ke 29 huhti 2015 21:00;;16;;;;27;18;0;21;29;23;12;15;;14;39
ke 29 huhti 2015 22:00;;7;;;;9;6;0;7;11;9;4;3;;9;10
ke 29 huhti 2015 23:00;;3;;;;5;2;0;2;8;6;5;2;;5;4
to 30 huhti 2015 00:00;;1;;;;1;0;0;0;4;8;6;1;;1;1
to 30 huhti 2015 01:00;;2;;;;1;0;0;2;2;4;2;0;;2;1
to 30 huhti 2015 02:00;;1;;;;5;0;0;1;2;2;3;0;;1;1
to 30 huhti 2015 03:00;;0;;;;1;1;0;0;1;1;2;0;;0;1
to 30 huhti 2015 04:00;;0;;;;4;0;0;2;1;2;5;1;;1;3
to 30 huhti 2015 05:00;;1;;;;9;16;0;13;6;8;6;4;;11;7
to 30 huhti 2015 06:00;;31;;;;42;50;0;63;53;41;9;36;;24;70
to 30 huhti 2015 07:00;;117;;;;153;162;0;206;167;99;16;103;;83;200
to 30 huhti 2015 08:00;;166;;;;231;172;0;183;263;151;31;105;;155;306
to 30 huhti 2015 09:00;;110;;;;122;81;0;87;147;143;61;74;;111;169
to 30 huhti 2015 10:00;;42;;;;92;44;0;33;93;67;45;27;;66;80
to 30 huhti 2015 11:00;;49;;;;68;62;0;54;76;107;59;33;;73;71
to 30 huhti 2015 12:00;;63;;;;60;60;0;52;81;101;59;22;;68;91
to 30 huhti 2015 13:00;;83;;;;78;78;0;84;97;107;54;40;;82;114
to 30 huhti 2015 14:00;;105;;;;139;133;2;130;168;149;75;82;;117;177
to 30 huhti 2015 15:00;;160;;;;199;212;0;223;241;197;95;132;;167;279
to 30 huhti 2015 16:00;;138;;;;188;167;0;178;230;168;105;120;;129;257
to 30 huhti 2015 17:00;;102;;;;143;102;1;109;176;145;100;72;;64;122
to 30 huhti 2015 18:00;;66;;;;97;76;0;66;127;112;62;53;;60;102
to 30 huhti 2015 19:00;;54;;;;62;47;4;55;78;75;50;33;;63;77
to 30 huhti 2015 20:00;;37;;;;47;48;0;42;46;43;41;27;;40;49
to 30 huhti 2015 21:00;;34;;;;42;41;0;32;41;29;29;18;;23;33
to 30 huhti 2015 22:00;;15;;;;24;15;0;14;35;45;24;9;;16;24
to 30 huhti 2015 23:00;;17;;;;26;17;0;15;31;19;25;12;;23;20
pe 1 touko 2015 00:00;;15;;;;15;9;0;10;24;20;33;11;;32;17
pe 1 touko 2015 01:00;;13;;;;18;3;0;1;34;19;24;3;;19;12
pe 1 touko 2015 02:00;;14;;;;20;5;0;2;8;22;16;2;;16;8
pe 1 touko 2015 03:00;;11;;;;19;3;0;2;12;14;17;7;;11;8
pe 1 touko 2015 04:00;;2;;;;6;1;0;3;14;9;9;2;;5;1
pe 1 touko 2015 05:00;;2;;;;14;4;0;3;4;2;8;2;;4;4
pe 1 touko 2015 06:00;;6;;;;3;7;0;10;7;7;6;8;;2;14
pe 1 touko 2015 07:00;;9;;;;11;17;0;12;12;3;4;6;;7;15
pe 1 touko 2015 08:00;;20;;;;40;23;0;11;10;13;7;4;;14;20
pe 1 touko 2015 09:00;;34;;;;45;20;1;27;19;31;14;26;;20;23
pe 1 touko 2015 10:00;;45;;;;72;63;1;31;49;54;38;25;;26;44
pe 1 touko 2015 11:00;;53;;;;129;107;0;41;76;76;69;48;;54;88
pe 1 touko 2015 12:00;;100;;;;144;120;6;55;108;106;95;37;;78;90
pe 1 touko 2015 13:00;;83;;;;118;142;2;70;141;103;108;85;;86;107
pe 1 touko 2015 14:00;;78;;;;129;126;0;82;101;85;75;67;;104;82
pe 1 touko 2015 15:00;;79;;;;132;119;3;70;110;102;66;54;;73;94
pe 1 touko 2015 16:00;;61;;;;92;109;1;72;95;74;63;39;;51;88
pe 1 touko 2015 17:00;;53;;;;78;72;0;45;91;63;38;34;;42;5
pe 1 touko 2015 18:00;;31;;;;58;56;0;46;45;56;36;32;;45;63
pe 1 touko 2015 19:00;;20;;;;56;45;0;44;50;43;39;25;;40;51
pe 1 touko 2015 20:00;;16;;;;48;36;0;39;59;43;35;21;;24;40
pe 1 touko 2015 21:00;;28;;;;30;29;0;24;39;30;23;20;;20;29
pe 1 touko 2015 22:00;;13;;;;30;12;0;13;17;24;29;17;;16;19
pe 1 touko 2015 23:00;;9;;;;17;8;0;13;23;25;27;5;;11;16
la 2 touko 2015 00:00;;9;;;;17;2;0;9;16;13;14;5;;13;16
la 2 touko 2015 01:00;;13;;;;14;1;0;1;13;12;14;4;;10;7
la 2 touko 2015 02:00;;7;;;;5;3;0;6;9;9;14;5;;4;2
la 2 touko 2015 03:00;;6;;;;6;0;0;5;5;6;12;0;;5;3
la 2 touko 2015 04:00;;2;;;;5;3;0;1;1;10;7;3;;3;2
la 2 touko 2015 05:00;;0;;;;4;3;0;4;7;3;1;3;;0;5
la 2 touko 2015 06:00;;3;;;;3;9;0;14;3;5;1;7;;5;12
la 2 touko 2015 07:00;;3;;;;13;12;0;13;12;2;5;3;;2;11
la 2 touko 2015 08:00;;10;;;;17;14;0;9;12;16;8;7;;13;13
la 2 touko 2015 09:00;;22;;;;35;18;0;14;34;23;13;15;;16;29
la 2 touko 2015 10:00;;29;;;;44;36;0;15;24;33;16;14;;35;35
la 2 touko 2015 11:00;;36;;;;42;39;0;35;46;50;21;21;;33;30
la 2 touko 2015 12:00;;35;;;;45;33;0;48;34;59;26;31;;42;46
la 2 touko 2015 13:00;;28;;;;39;32;0;29;33;42;14;21;;23;29
la 2 touko 2015 14:00;;10;;;;22;22;0;34;31;17;19;15;;16;32
la 2 touko 2015 15:00;;11;;;;33;26;0;24;32;25;23;13;;23;28
la 2 touko 2015 16:00;;14;;;;25;17;0;17;19;23;20;11;;16;23
la 2 touko 2015 17:00;;10;;;;26;8;0;16;14;26;16;6;;14;19
la 2 touko 2015 18:00;;14;;;;14;11;0;2;25;17;14;8;;14;29
la 2 touko 2015 19:00;;6;;;;9;17;0;13;17;13;3;5;;1;12
la 2 touko 2015 20:00;;8;;;;15;9;0;12;20;12;13;5;;7;24
la 2 touko 2015 21:00;;10;;;;13;10;0;11;17;9;8;4;;12;9
la 2 touko 2015 22:00;;6;;;;8;3;0;11;10;9;12;7;;11;10
la 2 touko 2015 23:00;;2;;;;8;1;0;3;9;2;11;2;;9;10
su 3 touko 2015 00:00;;6;;;;5;1;0;7;2;7;8;1;;7;3
su 3 touko 2015 01:00;;5;;;;4;0;0;1;4;5;10;1;;1;2
su 3 touko 2015 02:00;;2;;;;2;0;0;2;1;5;1;0;;0;1
